-----Epoch 0 开始训练-----

Total step : 37700      Batch loss: 2.5978      Epoch average loss: 3.5400
Total step : 37800      Batch loss: 2.7869      Epoch average loss: 3.5384
Total step : 37900      Batch loss: 2.6314      Epoch average loss: 3.5370
Total step : 38000      Batch loss: 2.8307      Epoch average loss: 3.5358
Total step : 38100      Batch loss: 3.5800      Epoch average loss: 3.5347
Total step : 38200      Batch loss: 2.3927      Epoch average loss: 3.5331
Total step : 38300      Batch loss: 3.7254      Epoch average loss: 3.5319
Total step : 38400      Batch loss: 2.7139      Epoch average loss: 3.5306
Total step : 38500      Batch loss: 2.4964      Epoch average loss: 3.5292
Total step : 38600      Batch loss: 3.3340      Epoch average loss: 3.5276
Total step : 38700      Batch loss: 3.7681      Epoch average loss: 3.5261
Total step : 38800      Batch loss: 2.6838      Epoch average loss: 3.5246
Total step : 38900      Batch loss: 3.1748      Epoch average loss: 3.5230
Total step : 39000      Batch loss: 4.1440      Epoch average loss: 3.5217
Total step : 39100      Batch loss: 2.9618      Epoch average loss: 3.5204
Total step : 39200      Batch loss: 3.1034      Epoch average loss: 3.5192
Total step : 39300      Batch loss: 3.2306      Epoch average loss: 3.5179
Total step : 39400      Batch loss: 3.5264      Epoch average loss: 3.5167
Total step : 39500      Batch loss: 3.5678      Epoch average loss: 3.5149
Total step : 39600      Batch loss: 2.6650      Epoch average loss: 3.5135
Total step : 39700      Batch loss: 2.7343      Epoch average loss: 3.5124
Total step : 39800      Batch loss: 3.0012      Epoch average loss: 3.5110
Total step : 39900      Batch loss: 3.3488      Epoch average loss: 3.5095
Total step : 40000      Batch loss: 2.7669      Epoch average loss: 3.5081
Total step : 40100      Batch loss: 2.8562      Epoch average loss: 3.5068
Total step : 40200      Batch loss: 2.7421      Epoch average loss: 3.5053
Total step : 40300      Batch loss: 2.8048      Epoch average loss: 3.5040
Total step : 40400      Batch loss: 2.7207      Epoch average loss: 3.5027
Total step : 40500      Batch loss: 2.9996      Epoch average loss: 3.5017
Total step : 40600      Batch loss: 2.8451      Epoch average loss: 3.5004
Total step : 40700      Batch loss: 2.5312      Epoch average loss: 3.4988
Total step : 40800      Batch loss: 2.7727      Epoch average loss: 3.4977
Total step : 40900      Batch loss: 3.1522      Epoch average loss: 3.4964
